strain,nextstrain_besttree,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet_bias, tnet_random_sample
EPI_ISL_466644,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
EPI_ISL_462092,Bangladesh,Russia,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
EPI_ISL_450280,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Portugal,Russia,Russia,Russia,Russia
EPI_ISL_454221,Portugal,Russia,Portugal,Portugal,Portugal,Italy,Portugal,Poland,Portugal,Portugal,Portugal,Portugal,Portugal
EPI_ISL_450257,Vietnam,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Poland,Austria,Russia,Russia,Russia
EPI_ISL_450283,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
EPI_ISL_455632,Poland,Russia,SouthAfrica,Poland,Italy,Australia,UnitedArabEmirates,Poland,Russia,Russia,USA,Russia,SouthAfrica
EPI_ISL_451871,Belgium,Switzerland,Portugal,Austria,Russia,Switzerland,Switzerland,Germany,Switzerland,UnitedKingdom,Italy,Switzerland,Switzerland
EPI_ISL_440341,UnitedKingdom,Switzerland,Portugal,Poland,UnitedKingdom,Russia,Austria,UnitedKingdom,DemocraticRepublicoftheCongo,Italy,UnitedKingdom,UnitedKingdom,Poland
EPI_ISL_416036,Spain,Switzerland,Brazil,Brazil,Brazil,Brazil,Argentina,Brazil,Brazil,Brazil,Switzerland,Brazil,Brazil
EPI_ISL_454130,Portugal,Oman,Portugal,Colombia,Vietnam,Portugal,Portugal,Portugal,India,Portugal,Italy,Portugal,Portugal
EPI_ISL_445276,UnitedKingdom,Oman,Italy,Chile,Chile,Chile,Chile,Chile,Oman,Oman,Chile,Oman,Oman
EPI_ISL_457702,UnitedKingdom,Oman,Italy,Austria,Italy,Chile,Oman,Oman,Oman,Oman,Portugal,Oman,Oman
EPI_ISL_457703,Oman,Oman,Italy,Japan,Italy,Switzerland,Chile,Oman,Oman,Oman,USA,Oman,Oman
EPI_ISL_451662,Poland,Switzerland,Poland,Poland,Poland,Poland,Poland,Italy,Poland,Russia,Poland,Poland,Poland
EPI_ISL_451885,Japan,Switzerland,Japan,Japan,Japan,Japan,Japan,Japan,Switzerland,Japan,Japan,Switzerland,Switzerland
EPI_ISL_414014,Iceland,Switzerland,Netherlands,Netherlands,Brazil,Brazil,Netherlands,Brazil,Netherlands,Italy,Netherlands,UnitedKingdom,Brazil
EPI_ISL_417817,Iceland,Switzerland,Italy,Netherlands,Iceland,Switzerland,Netherlands,Brazil,Netherlands,Italy,Netherlands,Austria,Iceland
EPI_ISL_466875,Netherlands,Switzerland,Italy,Netherlands,Germany,Russia,Netherlands,Germany,Netherlands,Italy,Netherlands,Austria,Germany
EPI_ISL_458084,Netherlands,Italy,Italy,UnitedKingdom,Chile,Greece,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_458085,Italy,Italy,Italy,Netherlands,Italy,Switzerland,Italy,Italy,Netherlands,Italy,Italy,Italy,Italy
EPI_ISL_460844,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Italy,Netherlands,Jordan,Netherlands,UnitedKingdom,Netherlands,Netherlands,Netherlands
EPI_ISL_455455,Austria,Netherlands,Russia,Mexico,Chile,Switzerland,Russia,Switzerland,Netherlands,Italy,Austria,Austria,Mexico
EPI_ISL_416479,Switzerland,Netherlands,Russia,Mexico,Italy,Sweden,Netherlands,Georgia,Netherlands,Switzerland,Austria,Austria,Georgia
EPI_ISL_438060,Netherlands,Switzerland,Austria,Netherlands,Greece,Austria,Netherlands,Austria,Netherlands,Austria,Netherlands,Austria,Austria
EPI_ISL_451705,Switzerland,Switzerland,Italy,Austria,Switzerland,Switzerland,Netherlands,Germany,Austria,Switzerland,Austria,Italy,Austria
EPI_ISL_461292,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
EPI_ISL_461207,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Jordan,Netherlands,Netherlands,Netherlands
EPI_ISL_438117,Austria,Netherlands,Austria,Austria,Austria,Austria,Austria,Switzerland,Austria,Austria,Austria,Austria,Austria
EPI_ISL_455963,Netherlands,Netherlands,Italy,Italy,Italy,Russia,Netherlands,Oman,Netherlands,Italy,Netherlands,Italy,Italy
EPI_ISL_422576,Netherlands,Netherlands,Netherlands,Netherlands,Portugal,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
EPI_ISL_451968,Hungary,Russia,Italy,India,Italy,Russia,Japan,Switzerland,Chile,Switzerland,Hungary,Japan,Russia
EPI_ISL_461230,Netherlands,Netherlands,Portugal,Poland,Netherlands,Russia,Switzerland,Bangladesh,Netherlands,Italy,Italy,Portugal,Netherlands
EPI_ISL_464007,Netherlands,Netherlands,Italy,Poland,Luxembourg,Japan,Japan,Morocco,Switzerland,Switzerland,Japan,Japan,Japan
EPI_ISL_419311,Japan,Japan,Japan,Japan,Brazil,Japan,Japan,Vietnam,Japan,Japan,Greece,Japan,Japan
EPI_ISL_459980,Morocco,Morocco,Italy,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco
EPI_ISL_458150,Morocco,Morocco,Italy,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco
EPI_ISL_438969,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_438958,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_438959,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_438955,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_438952,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_438948,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_438953,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_438947,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_438951,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_438949,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Switzerland,Japan,Japan,Japan,Japan
EPI_ISL_452139,UnitedKingdom,Japan,Italy,Netherlands,Luxembourg,Switzerland,Netherlands,Greece,Poland,Japan,Mexico,Switzerland,Mexico
EPI_ISL_447649,Italy,Greece,Russia,Vietnam,Greece,Sweden,Greece,Greece,Greece,Russia,Greece,Greece,Greece
EPI_ISL_419303,Switzerland,Greece,Greece,Japan,Japan,Japan,Japan,Japan,Australia,Japan,Latvia,Japan,Japan
EPI_ISL_454342,Colombia,Greece,Italy,Belgium,Portugal,Portugal,Russia,Portugal,Portugal,Portugal,India,Portugal,Portugal
EPI_ISL_447647,Greece,Greece,Greece,Greece,Australia,Greece,Greece,Greece,Germany,Greece,Japan,Greece,Greece
EPI_ISL_445377,Australia,Australia,Chile,Chile,Jordan,Australia,Australia,Chile,Chile,Chile,Chile,Chile,Chile
EPI_ISL_430535,Australia,Australia,Chile,Chile,Chile,Australia,Australia,Chile,Chile,Chile,Chile,Chile,Australia
EPI_ISL_455701,Vietnam,Germany,Luxembourg,Vietnam,Vietnam,Vietnam,Italy,Italy,Vietnam,Russia,Greece,Vietnam,Vietnam
EPI_ISL_466909,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Switzerland,Germany,Germany,Germany,Germany
EPI_ISL_437239,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_450404,HongKong,HongKong,Russia,Portugal,Chile,Jordan,CzechRepublic,Portugal,HongKong,Russia,Jordan,Vietnam,HongKong
EPI_ISL_426359,Jordan,HongKong,Russia,CzechRepublic,Japan,Bangladesh,CzechRepublic,Chile,Japan,Jordan,CzechRepublic,Poland,CzechRepublic
EPI_ISL_453854,Portugal,Japan,Portugal,Portugal,Vietnam,Sweden,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
EPI_ISL_438971,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Italy,Japan,Japan,Japan,Japan
EPI_ISL_438970,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_437952,Oman,Japan,Russia,Russia,Austria,Austria,Italy,Poland,Vietnam,Austria,Austria,Russia,Austria
EPI_ISL_447443,Israel,Germany,Japan,Hungary,Japan,Germany,Japan,Japan,Brazil,Japan,Japan,Japan,Israel
EPI_ISL_466901,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Japan,Germany,Germany
EPI_ISL_466891,Germany,Germany,Germany,Germany,Germany,Japan,Germany,Germany,Germany,Germany,Japan,Germany,Germany
EPI_ISL_448068,UnitedKingdom,Switzerland,UnitedKingdom,Poland,UnitedKingdom,Russia,UnitedKingdom,Latvia,Latvia,Latvia,UnitedKingdom,Latvia,UnitedKingdom
EPI_ISL_451859,Sweden,Switzerland,Sweden,CzechRepublic,Bangladesh,Sweden,Switzerland,Switzerland,Switzerland,Sweden,Sweden,Sweden,Switzerland
EPI_ISL_451652,Poland,Poland,Portugal,Poland,Poland,Belgium,Vietnam,Poland,Poland,Italy,UnitedKingdom,Poland,Poland
EPI_ISL_454304,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
EPI_ISL_454193,Portugal,Portugal,Vietnam,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
EPI_ISL_430602,Vietnam,Japan,Greece,Australia,Australia,Australia,Australia,Germany,Australia,Portugal,Vietnam,Italy,Australia
EPI_ISL_438956,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,UnitedKingdom,Japan,Japan,Japan,Japan
EPI_ISL_433833,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Chile,Italy,UnitedKingdom,UnitedKingdom,Portugal,Poland,UnitedKingdom
EPI_ISL_458034,Japan,UnitedKingdom,UnitedKingdom,India,Vietnam,Austria,India,Bangladesh,Japan,Germany,India,Vietnam,India
EPI_ISL_434465,Greece,Switzerland,Greece,Latvia,Italy,Greece,CzechRepublic,Greece,Greece,Russia,Greece,Greece,Greece
EPI_ISL_467012,Japan,Switzerland,Japan,Japan,Japan,Japan,Japan,Japan,Switzerland,Switzerland,Japan,Switzerland,Switzerland
EPI_ISL_455707,Vietnam,Vietnam,Japan,Vietnam,Vietnam,Sweden,Sweden,Vietnam,Vietnam,Japan,Vietnam,Vietnam,Vietnam
EPI_ISL_455710,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Jordan,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam
EPI_ISL_455712,Vietnam,Vietnam,Vietnam,Poland,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam
EPI_ISL_451663,Poland,Poland,Poland,Poland,BosniaandHerzegovina,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_451661,Poland,Poland,Portugal,Poland,Italy,Poland,Russia,Poland,Jordan,Poland,Japan,Poland,Poland
EPI_ISL_455709,Vietnam,Vietnam,Portugal,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam
EPI_ISL_466877,Poland,Vietnam,Germany,Poland,Germany,Sweden,Germany,Poland,Sweden,Germany,Germany,Germany,Germany
EPI_ISL_453958,Portugal,Portugal,Portugal,CzechRepublic,CzechRepublic,Portugal,Portugal,Portugal,Portugal,Vietnam,Portugal,Portugal,Portugal
EPI_ISL_463127,Switzerland,Portugal,Poland,Bangladesh,Brazil,Russia,USA,Germany,Poland,USA,USA,Japan,USA
EPI_ISL_415483,Netherlands,Netherlands,Portugal,Netherlands,Netherlands,Russia,Netherlands,Netherlands,Netherlands,UnitedKingdom,Netherlands,Netherlands,Netherlands
EPI_ISL_417757,Iceland,Iceland,Iceland,Netherlands,Vietnam,Iceland,Iceland,Iceland,Iceland,Iceland,Netherlands,Iceland,Iceland
EPI_ISL_424384,Iceland,Iceland,Iceland,Netherlands,Luxembourg,Iceland,Iceland,Iceland,Iceland,Iceland,Netherlands,Iceland,Iceland
EPI_ISL_454762,Netherlands,Netherlands,Netherlands,Netherlands,Germany,Russia,Netherlands,Netherlands,Netherlands,UnitedKingdom,Netherlands,Netherlands,Netherlands
EPI_ISL_426891,Netherlands,Netherlands,Netherlands,Netherlands,Germany,Russia,Netherlands,Netherlands,Netherlands,UnitedKingdom,Netherlands,Netherlands,Netherlands
EPI_ISL_428865,Italy,Austria,Russia,Netherlands,Russia,Russia,Russia,Russia,Netherlands,Russia,Netherlands,Russia,Russia
EPI_ISL_438126,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_438128,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_438127,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_462480,Spain,Italy,Brazil,Poland,Brazil,Russia,Poland,Poland,Italy,Poland,Poland,Poland,Poland
EPI_ISL_435155,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_435149,Italy,Italy,Russia,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_435145,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_436729,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Bangladesh,Italy,Italy,Italy,Italy,Italy
EPI_ISL_435151,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_435150,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_435148,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Germany,Italy,Italy,Italy,Italy,Italy
EPI_ISL_435152,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_413020,Morocco,Switzerland,Switzerland,Morocco,Switzerland,Morocco,Switzerland,Switzerland,Switzerland,Switzerland,UnitedKingdom,UnitedKingdom,Morocco
EPI_ISL_459977,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco
EPI_ISL_459978,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco
EPI_ISL_459983,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco
EPI_ISL_435124,Morocco,UnitedArabEmirates,Switzerland,Morocco,Uganda,Morocco,UnitedKingdom,UnitedKingdom,UnitedKingdom,Switzerland,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_451189,Uganda,Uganda,Italy,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda
EPI_ISL_451186,Uganda,Uganda,Italy,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda
EPI_ISL_461720,Uganda,Uganda,Italy,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda
EPI_ISL_451192,Uganda,Uganda,Portugal,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda
EPI_ISL_451190,Uganda,Uganda,Russia,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda
EPI_ISL_454751,Netherlands,Netherlands,Brazil,Netherlands,Netherlands,Netherlands,Netherlands,Italy,Brazil,Netherlands,Brazil,Netherlands,Netherlands
EPI_ISL_454750,Netherlands,Netherlands,Chile,Netherlands,Netherlands,Netherlands,Netherlands,Switzerland,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
EPI_ISL_415700,Netherlands,Netherlands,CzechRepublic,Netherlands,Switzerland,Netherlands,Switzerland,Switzerland,Switzerland,Switzerland,Netherlands,Netherlands,Netherlands
EPI_ISL_466906,Netherlands,Netherlands,Brazil,Netherlands,Germany,Netherlands,Brazil,Germany,Brazil,Brazil,Germany,Brazil,Germany
EPI_ISL_426580,Netherlands,Netherlands,Brazil,Netherlands,Italy,Brazil,Brazil,Germany,Italy,Brazil,Brazil,Brazil,Brazil
EPI_ISL_416743,Netherlands,Netherlands,CzechRepublic,Netherlands,Brazil,Netherlands,Switzerland,Georgia,Austria,Switzerland,Brazil,Netherlands,Netherlands
EPI_ISL_413574,Netherlands,Netherlands,Brazil,Netherlands,Netherlands,Netherlands,Brazil,Netherlands,Netherlands,Brazil,Netherlands,Netherlands,Netherlands
EPI_ISL_458139,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_445349,Brazil,Brazil,Chile,Brazil,Chile,Brazil,Chile,Brazil,Chile,Brazil,Chile,Brazil,Chile
EPI_ISL_430793,Brazil,Brazil,Netherlands,Brazil,Argentina,Brazil,Switzerland,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_445352,Brazil,Brazil,Brazil,Brazil,Australia,Brazil,Brazil,Chile,Italy,Brazil,Brazil,Brazil,Chile
EPI_ISL_450873,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_458138,Brazil,Brazil,Brazil,Brazil,Italy,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456091,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Chile,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456103,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456083,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Vietnam,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456076,Brazil,Brazil,Brazil,Brazil,Italy,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456086,Brazil,Brazil,Brazil,Brazil,Netherlands,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456090,Brazil,Brazil,Chile,Brazil,Portugal,Brazil,Brazil,Brazil,Italy,Brazil,Brazil,Brazil,Brazil
EPI_ISL_427303,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_445370,Brazil,Brazil,Chile,Chile,Chile,Brazil,Brazil,Chile,Chile,Brazil,Chile,Chile,Chile
EPI_ISL_456075,Brazil,Brazil,Brazil,Brazil,Vietnam,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_445373,Brazil,Brazil,Brazil,Chile,UnitedKingdom,Brazil,Brazil,Chile,Portugal,Chile,Brazil,Chile,Chile
EPI_ISL_456079,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456082,Brazil,Brazil,Brazil,Brazil,Bangladesh,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_427297,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_457953,Brazil,Brazil,Chile,Brazil,Austria,Brazil,Brazil,Brazil,Japan,Brazil,Brazil,Brazil,Brazil
EPI_ISL_427298,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_445369,Brazil,Brazil,Chile,Chile,Chile,Brazil,Brazil,Chile,Italy,Chile,Chile,Chile,Chile
EPI_ISL_430817,Argentina,Argentina,Chile,Argentina,Argentina,Argentina,Argentina,Brazil,Brazil,Brazil,Brazil,Argentina,Argentina
EPI_ISL_430815,Argentina,Argentina,Brazil,Argentina,Argentina,Argentina,Argentina,Brazil,UnitedKingdom,Brazil,Brazil,Argentina,Argentina
EPI_ISL_430814,Argentina,Argentina,Brazil,Argentina,Argentina,Argentina,Argentina,Brazil,Brazil,Brazil,Brazil,Argentina,Argentina
EPI_ISL_456077,Brazil,Brazil,Brazil,Brazil,Poland,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456101,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Japan,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456100,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Sweden,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456102,Brazil,Brazil,Brazil,Brazil,Bangladesh,Brazil,Brazil,Bangladesh,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456087,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456092,Brazil,Brazil,Brazil,Brazil,Bangladesh,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456096,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Chile,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456081,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
EPI_ISL_456095,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Japan,Brazil,Brazil,Brazil,Brazil
EPI_ISL_461963,Portugal,UnitedKingdom,Italy,Argentina,Portugal,Sweden,CzechRepublic,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_464164,Bangladesh,UnitedKingdom,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
EPI_ISL_453977,Portugal,Portugal,Russia,Portugal,Portugal,Portugal,Austria,Oman,Portugal,Italy,Portugal,Portugal,Portugal
EPI_ISL_429749,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Bangladesh,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_434496,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_429706,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Switzerland,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_426890,CzechRepublic,CzechRepublic,CzechRepublic,Russia,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
EPI_ISL_426883,CzechRepublic,CzechRepublic,CzechRepublic,Russia,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
EPI_ISL_429120,Sweden,Portugal,Sweden,Russia,Russia,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden
EPI_ISL_428368,Portugal,Portugal,Portugal,Portugal,Portugal,Turkey,Turkey,Portugal,Portugal,Portugal,UnitedKingdom,CzechRepublic,Turkey
EPI_ISL_454146,Portugal,Portugal,Portugal,Portugal,UnitedKingdom,Turkey,Turkey,Portugal,Portugal,Netherlands,UnitedKingdom,CzechRepublic,Portugal
EPI_ISL_450831,Greece,Greece,Russia,Poland,Sweden,Sweden,Switzerland,Sweden,Sweden,Sweden,Greece,Sweden,Sweden
EPI_ISL_434467,Greece,Greece,Russia,Greece,Sweden,Sweden,Switzerland,Sweden,Sweden,Sweden,Greece,Sweden,Sweden
EPI_ISL_452220,Germany,Germany,Germany,Poland,Germany,Russia,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_452222,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_454754,Netherlands,Netherlands,Russia,Switzerland,Netherlands,Switzerland,Netherlands,Netherlands,Netherlands,Switzerland,Switzerland,Switzerland,Netherlands
EPI_ISL_419306,Japan,Japan,Japan,Japan,Japan,Austria,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_419308,Japan,Japan,Russia,Japan,Japan,Italy,Japan,Japan,Austria,Japan,UnitedKingdom,Japan,Japan
EPI_ISL_412972,Italy,Switzerland,UnitedKingdom,Austria,Taiwan,Austria,UnitedKingdom,Italy,Vietnam,Netherlands,Vietnam,Sweden,Mexico
EPI_ISL_451656,Poland,Poland,Poland,Poland,Portugal,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_451658,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_435047,Belgium,Switzerland,Italy,Poland,UnitedKingdom,Taiwan,Switzerland,Switzerland,Kazakhstan,Switzerland,UnitedKingdom,Sweden,Kazakhstan
EPI_ISL_421651,Belgium,Switzerland,Switzerland,Poland,UnitedKingdom,Taiwan,Switzerland,Switzerland,Taiwan,Switzerland,UnitedKingdom,Switzerland,Taiwan
EPI_ISL_421576,Belgium,Switzerland,Italy,Poland,UnitedKingdom,Taiwan,Switzerland,Switzerland,Taiwan,Switzerland,UnitedKingdom,Poland,Switzerland
EPI_ISL_467002,Switzerland,Switzerland,Portugal,UnitedKingdom,UnitedKingdom,Switzerland,Switzerland,Switzerland,UnitedKingdom,Switzerland,UnitedKingdom,Poland,Switzerland
EPI_ISL_432333,Switzerland,Switzerland,Japan,UnitedKingdom,UnitedKingdom,Switzerland,Switzerland,Switzerland,UnitedKingdom,Switzerland,UnitedKingdom,Switzerland,UnitedKingdom
EPI_ISL_415699,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Germany,Switzerland,Switzerland
